exp_id,режим,очередь,воркеры,медиана (50),95-й перцентиль,99-й перцентиль,кол-во задач,кол-во итераций
exp_13546,autoscale,cumulative,"2,1",1.635,1.685,2.1697,7316,20
exp_13546,autoscale,scheduled,"2,1",1.6422,1.733,1.736,1200,20
exp_13546,autoscale,cumulative,"4,2",1.6586,1.7305,1.9279,14457,20
exp_13546,autoscale,scheduled,"4,2",1.6565,1.7517,1.7627,2400,20
exp_13546,autoscale,cumulative,"8,4",1.8195,2.1421,2.2626,25812,20
exp_13546,autoscale,scheduled,"8,4",1.796,2.0586,2.1416,4796,20
exp_13546,concurrency,cumulative,2,1.6328,1.6739,1.6891,7366,20
exp_13546,concurrency,scheduled,2,1.6409,1.6814,1.7362,1200,20
exp_13546,concurrency,cumulative,4,1.6442,1.6946,1.7535,14623,20
exp_13546,concurrency,scheduled,4,1.6414,1.6891,1.7448,2400,20
exp_13546,concurrency,cumulative,8,1.8199,2.1503,2.2907,25846,20
exp_13546,concurrency,scheduled,8,1.7878,2.1236,3.3292,4800,20
